iter	Passed	Remaining
373	1347	2256
374	1352	2253
375	1355	2249
376	1359	2246
377	1363	2243
378	1366	2238
379	1371	2237
380	1375	2234
381	1378	2230
382	1383	2228
383	1387	2225
384	1391	2222
385	1395	2220
386	1398	2215
387	1402	2212
388	1516	2381
389	1520	2378
390	1524	2374
391	1527	2369
392	1534	2369
393	1536	2363
394	1540	2359
395	1543	2354
396	1546	2348
397	1549	2343
398	1552	2338
399	1557	2335
400	1562	2334
401	1567	2332
402	1573	2331
403	1577	2327
404	1582	2324
405	1584	2318
406	1588	2314
407	1591	2309
408	1594	2304
409	1599	2301
410	1603	2298
411	1608	2296
412	1612	2291
413	1617	2289
414	1621	2285
415	1627	2284
416	1631	2280
417	1635	2276
418	1638	2271
419	1641	2266
420	1644	2261
421	1646	2255
422	1649	2250
423	1653	2246
424	1657	2242
425	1660	2237
426	1662	2231
427	1665	2225
428	1669	2221
429	1672	2216
430	1674	2210
431	1677	2205
432	1679	2199
433	1683	2195
434	1686	2190
435	1688	2184
436	1691	2179
437	1694	2174
438	1697	2168
439	1699	2162
440	1702	2157
441	1706	2154
442	1709	2149
443	1712	2144
444	1715	2139
445	1717	2133
446	1721	2129
447	1724	2124
448	1728	2120
449	1730	2115
450	1734	2111
451	1736	2105
452	1739	2100
453	1742	2095
454	1745	2091
455	1747	2085
456	1751	2081
457	1755	2076
458	1757	2071
459	1760	2066
460	1764	2063
461	1769	2060
462	1773	2057
463	1777	2052
464	1779	2047
465	1784	2044
466	1788	2041
467	1791	2036
468	1796	2034
469	1799	2029
470	1802	2024
471	1805	2020
472	1809	2015
473	1814	2013
474	1818	2009
475	1822	2006
476	1825	2001
477	1828	1997
478	1833	1994
479	1836	1989
480	1840	1985
481	1843	1981
482	1847	1977
483	1849	1971
484	1852	1966
485	1855	1962
486	1858	1958
487	1861	1953
488	1863	1947
489	1867	1943
490	1869	1938
491	1871	1932
492	1874	1927
493	1878	1923
494	1880	1918
495	1883	1913
496	1886	1909
497	1889	1904
498	1892	1899
499	1894	1894
500	1896	1889
501	1899	1884
502	1902	1879
503	1905	1875
504	1908	1871
505	1912	1866
506	1916	1863
507	1919	1858
508	1922	1854
509	1925	1849
510	1928	1845
511	1931	1840
512	1934	1836
513	1936	1831
514	1939	1826
515	1941	1821
516	1945	1817
517	1952	1816
518	1956	1813
519	1962	1811
520	1966	1808
521	1970	1804
522	1974	1800
523	1976	1795
524	1979	1791
525	1983	1787
526	1986	1782
527	1990	1779
528	1994	1776
529	1998	1771
530	2001	1767
531	2006	1764
532	2010	1761
533	2013	1757
534	2016	1752
535	2019	1748
536	2022	1743
537	2025	1739
538	2028	1734
539	2031	1730
540	2034	1725
541	2036	1721
542	2040	1717
543	2043	1712
544	2046	1708
545	2049	1704
546	2052	1699
547	2055	1695
548	2057	1690
549	2060	1685
550	2062	1680
551	2064	1675
552	2067	1671
553	2070	1666
554	2073	1662
555	2075	1657
556	2078	1653
557	2081	1648
558	2084	1644
559	2087	1640
560	2090	1635
561	2093	1631
562	2096	1627
563	2098	1622
564	2100	1617
565	2103	1613
566	2106	1608
567	2109	1604
568	2113	1600
569	2116	1596
570	2119	1592
571	2121	1587
572	2124	1583
573	2126	1578
574	2129	1574
575	2132	1569
576	2134	1565
577	2137	1560
578	2140	1556
579	2144	1552
580	2148	1549
581	2152	1545
582	2156	1542
583	2159	1538
584	2162	1534
585	2166	1530
586	2169	1526
587	2173	1522
588	2177	1519
589	2182	1516
590	2187	1513
591	2191	1510
592	2193	1505
593	2196	1501
594	2200	1497
595	2204	1494
596	2208	1490
597	2212	1487
598	2214	1482
599	2217	1478
600	2220	1474
601	2223	1469
602	2226	1465
603	2228	1460
604	2230	1456
605	2232	1451
606	2235	1447
607	2238	1443
608	2240	1438
609	2243	1434
610	2246	1430
611	2249	1426
612	2253	1422
613	2255	1418
614	2258	1413
615	2261	1409
616	2264	1405
617	2267	1401
618	2271	1398
619	2274	1394
620	2277	1389
621	2280	1386
622	2283	1381
623	2286	1377
624	2288	1372
625	2291	1368
626	2293	1364
627	2296	1360
628	2299	1356
629	2302	1352
630	2305	1348
631	2309	1344
632	2312	1340
633	2314	1336
634	2318	1332
635	2322	1329
636	2324	1324
637	2327	1320
638	2330	1316
639	2332	1311
640	2336	1308
641	2339	1304
642	2342	1300
643	2345	1296
644	2349	1292
645	2351	1288
646	2355	1285
647	2359	1281
648	2362	1277
649	2367	1274
650	2369	1270
651	2373	1266
652	2376	1263
653	2379	1259
654	2384	1256
655	2388	1252
656	2392	1248
657	2395	1244
658	2399	1241
659	2402	1237
660	2405	1233
661	2409	1230
662	2411	1225
663	2415	1222
664	2418	1218
665	2421	1214
666	2425	1210
667	2428	1207
668	2431	1203
669	2434	1199
670	2438	1195
671	2440	1191
672	2444	1187
673	2447	1183
674	2450	1179
675	2452	1175
676	2456	1171
677	2458	1167
678	2462	1163
679	2465	1160
680	2467	1155
681	2470	1152
682	2473	1147
683	2475	1143
684	2477	1139
685	2481	1135
686	2484	1132
687	2488	1128
688	2492	1125
689	2497	1121
690	2500	1118
691	2505	1115
692	2509	1111
693	2512	1107
694	2515	1103
695	2518	1100
696	2521	1096
697	2525	1092
698	2528	1088
699	2532	1085
700	2536	1081
701	2539	1078
702	2543	1074
703	2545	1070
704	2548	1066
705	2552	1062
706	2555	1059
707	2559	1055
708	2563	1052
709	2566	1048
710	2571	1045
711	2574	1041
712	2577	1037
713	2581	1034
714	2586	1030
715	2590	1027
716	2594	1023
717	2596	1019
718	2599	1016
719	2603	1012
720	2605	1008
721	2610	1004
722	2612	1000
723	2614	996
724	2618	993
725	2620	989
726	2624	985
727	2627	981
728	2630	978
729	2634	974
730	2637	970
731	2641	967
732	2644	963
733	2647	959
734	2651	955
735	2654	952
736	2657	948
737	2659	944
738	2662	940
739	2665	936
740	2668	932
741	2671	928
742	2675	925
743	2678	921
744	2682	918
745	2686	914
746	2690	911
747	2694	907
748	2698	904
749	2700	900
750	2703	896
751	2706	892
752	2709	888
753	2712	884
754	2714	880
755	2717	877
756	2719	873
757	2723	869
758	2726	865
759	2734	863
760	2738	860
761	2742	856
762	2746	853
763	2749	849
764	2752	845
765	2756	842
766	2759	838
767	2762	834
768	2766	830
769	2770	827
770	2775	824
771	2780	821
772	2784	817
773	2788	814
774	2793	811
775	2798	807
776	2802	804
777	2805	800
778	2808	796
779	2811	792
780	2814	789
781	2818	785
782	2820	781
783	2824	778
784	2828	774
785	2833	771
786	2835	767
787	2839	763
788	2841	759
789	2845	756
790	2848	752
791	2850	748
792	2853	744
793	2855	740
794	2858	737
795	2861	733
796	2864	729
797	2868	726
798	2872	722
799	2876	719
800	2879	715
801	2882	711
802	2886	708
803	2888	704
804	2891	700
805	2895	696
806	2898	693
807	2901	689
808	2904	685
809	2908	682
810	2910	678
811	2914	674
812	2918	671
813	2922	667
814	2926	664
815	2929	660
816	2932	656
817	2937	653
818	2941	650
819	2944	646
820	2948	642
821	2952	639
822	2955	635
823	2959	632
824	2964	628
825	2967	625
826	2971	621
827	2975	618
828	2979	614
829	2984	611
830	2987	607
831	2992	604
832	2996	600
833	2999	596
834	3002	593
835	3005	589
836	3008	585
837	3012	582
838	3015	578
839	3017	574
840	3021	571
841	3023	567
842	3027	563
843	3030	560
844	3032	556
845	3036	552
846	3039	548
847	3042	545
848	3045	541
849	3048	537
850	3051	534
851	3054	530
852	3057	526
853	3060	523
854	3063	519
855	3065	515
856	3068	511
857	3071	508
858	3073	504
859	3075	500
860	3078	496
861	3080	493
862	3083	489
863	3086	485
864	3088	482
865	3092	478
866	3095	474
867	3099	471
868	3101	467
869	3104	463
870	3107	460
871	3109	456
872	3112	452
873	3115	449
874	3118	445
875	3123	442
876	3125	438
877	3129	434
878	3132	431
879	3136	427
880	3139	424
881	3143	420
882	3147	416
883	3151	413
884	3153	409
885	3157	406
886	3161	402
887	3164	399
888	3167	395
889	3173	392
890	3177	388
891	3180	385
892	3183	381
893	3186	377
894	3190	374
895	3193	370
896	3195	366
897	3199	363
898	3202	359
899	3206	356
900	3209	352
901	3212	349
902	3216	345
903	3220	341
904	3222	338
905	3226	334
906	3229	331
907	3231	327
908	3235	323
909	3238	320
910	3241	316
911	3243	312
912	3246	309
913	3248	305
914	3252	302
915	3254	298
916	3258	294
917	3261	291
918	3263	287
919	3266	284
920	3269	280
921	3272	276
922	3275	273
923	3278	269
924	3281	266
925	3283	262
926	3286	258
927	3289	255
928	3292	251
929	3295	248
930	3298	244
931	3301	240
932	3303	237
933	3305	233
934	3308	229
935	3311	226
936	3315	222
937	3319	219
938	3323	215
939	3326	212
940	3330	208
941	3333	205
942	3338	201
943	3342	198
944	3345	194
945	3349	191
946	3352	187
947	3355	184
948	3360	180
949	3365	177
950	3369	173
951	3372	170
952	3376	166
953	3380	162
954	3383	159
955	3387	155
956	3390	152
957	3393	148
958	3397	145
959	3401	141
960	3404	138
961	3407	134
962	3410	131
963	3414	127
964	3416	123
965	3419	120
966	3422	116
967	3426	113
968	3429	109
969	3432	106
970	3435	102
971	3438	99
972	3441	95
973	3445	91
974	3448	88
975	3452	84
976	3454	81
977	3457	77
978	3460	74
979	3464	70
980	3467	67
981	3471	63
982	3474	60
983	3477	56
984	3480	53
985	3484	49
986	3487	45
987	3491	42
988	3493	38
989	3497	35
990	3499	31
991	3502	28
992	3505	24
993	3508	21
994	3512	17
995	3517	14
996	3520	10
997	3523	7
998	3528	3
999	3530	0
