iter	RMSE
242	677.7909231
243	677.6398043
244	677.4450555
245	677.2864837
246	677.2093243
247	677.1217381
248	677.0555808
249	676.8830222
250	676.7508598
251	676.7384
252	676.4802364
253	676.3919964
254	676.2352258
255	675.9127637
256	675.7009141
257	675.4784636
258	675.1428906
259	675.0545886
260	674.9331374
261	674.9204113
262	674.7386184
263	674.7364851
264	674.6185056
265	674.5381142
266	674.3155809
267	674.1975574
268	673.9689431
269	673.9589001
270	673.9380355
271	673.7592109
272	673.6217868
273	673.5446712
274	673.3836429
275	673.154167
276	673.1383028
277	672.929887
278	672.8631021
279	672.7771581
280	672.6974559
281	672.5142713
282	672.4817103
283	672.3679273
284	672.1685934
285	672.1084419
286	671.8232459
287	671.6672521
288	671.5981741
289	671.3009536
290	670.9213502
291	670.8029886
292	670.6734275
293	670.2126811
294	670.1685147
295	669.9803432
296	669.96731
297	669.9406891
298	669.8593276
299	669.7887531
300	669.706137
301	669.6282432
302	669.4967807
303	669.4570806
304	669.3414035
305	669.2756377
306	669.2636745
307	669.2062794
308	669.105964
309	669.0612875
310	669.040563
311	669.0258432
312	668.941695
313	668.8215892
314	668.744119
315	668.6662061
316	668.6182681
317	668.5114233
318	668.2404959
319	667.9468049
320	667.8295104
321	667.5879452
322	667.5359675
323	667.3397691
324	667.3290715
325	667.2694157
326	667.0817773
327	666.9837475
328	666.8712101
329	666.7426368
330	666.7201251
331	666.5274426
332	666.4874859
333	666.3599708
334	666.3493558
335	666.206443
336	666.1455013
337	666.0622849
338	666.0493876
339	665.9920256
340	665.9796232
341	665.9263728
342	665.8462732
343	665.8058694
344	665.7251168
345	665.6551417
346	665.6270068
347	665.4127688
348	665.3549189
349	665.3244601
350	665.2083053
351	665.1211044
352	665.096356
353	665.0294721
354	665.0004133
355	664.8934699
356	664.7711336
357	664.6245288
358	664.3798173
359	664.2966928
360	664.2211686
361	664.075393
362	664.0368176
363	663.9770362
364	663.9478803
365	663.812819
366	663.6644734
367	663.5948004
368	663.3642261
369	663.2591947
370	663.224272
371	663.1750527
372	663.0873278
373	662.9028203
374	662.7867703
375	662.7242608
376	662.6942524
377	662.6244457
378	662.5578613
379	662.3842385
380	662.3066883
381	662.1197052
382	662.0423273
383	661.7721214
384	661.6869496
385	661.4633696
386	661.4325028
387	661.4097645
388	661.3462423
389	661.2395367
390	661.1416947
391	660.9338305
392	660.8414708
393	660.8137845
394	660.6641346
395	660.5371058
396	660.4516739
397	660.3417971
398	660.2531681
399	660.0473039
400	659.9830571
401	659.9267232
402	659.8380067
403	659.7257814
404	659.687552
405	659.633714
406	659.5577145
407	659.5174885
408	659.4468052
409	659.2733571
410	659.1959426
411	659.0126902
412	658.8282548
413	658.6455894
414	658.6361805
415	658.43818
416	658.396888
417	658.3303867
418	658.2421315
419	658.1943857
420	658.0829689
421	658.0398961
422	657.9633672
423	657.9039424
424	657.7266601
425	657.4658467
426	657.4189961
427	657.323318
428	657.2648408
429	657.2109752
430	657.1719977
431	656.9775918
432	656.8430046
433	656.6962304
434	656.657365
435	656.6051244
436	656.5665967
437	656.5041195
438	656.4952572
439	656.4601017
440	656.4298581
441	656.3752004
442	656.2131829
443	656.1444616
444	656.0267339
445	655.904649
446	655.8761991
447	655.875347
448	655.7347787
449	655.6803188
450	655.6186137
451	655.5349246
452	655.4057054
453	655.3859035
454	655.2610803
455	655.2528543
456	655.1387742
457	655.1298314
458	655.0897702
459	655.0306307
460	654.8822926
461	654.8519894
462	654.7932894
463	654.6832488
464	654.6312383
465	654.5070692
466	654.2707427
467	654.0829576
468	653.9393926
469	653.8184983
470	653.71524
471	653.5932078
472	653.5097016
473	653.2842392
474	653.0490201
475	652.9083278
476	652.7386806
477	652.6877798
478	652.6264215
479	652.4983264
480	652.2985273
481	652.2306035
482	652.2173935
483	652.1334769
484	651.8370794
485	651.7354523
486	651.6586935
487	651.6569456
488	651.5422007
489	651.5007142
490	651.4149597
491	651.4045367
492	651.3574451
493	651.2429497
494	651.117788
495	651.0304526
496	650.9871877
497	650.9210109
498	650.8587738
499	650.8278891
500	650.8108953
501	650.7298239
502	650.6537745
503	650.5523139
504	650.4672621
505	650.3484665
506	650.2839167
507	650.2737517
508	650.2572445
509	650.2017019
510	650.0730925
511	650.0159227
512	649.9684447
513	649.9508401
514	649.9437819
515	649.8352441
516	649.8227309
517	649.7892551
518	649.7870396
519	649.6665817
520	649.6015669
521	649.4624945
522	649.2477478
523	649.2326651
524	649.2036191
525	648.9808015
526	648.9713808
527	648.8758019
528	648.8382412
529	648.8238769
530	648.7125324
531	648.4962774
532	648.4642949
533	648.4017379
534	648.2706075
535	648.1879579
536	648.1237117
537	648.0369698
538	647.9317531
539	647.8371421
540	647.8257981
541	647.6017917
542	647.5260794
543	647.4699379
544	647.4374769
545	647.4093392
546	647.3587847
547	647.2710877
548	647.2678843
549	647.213866
550	647.1173872
551	647.0269456
552	647.0097043
553	646.9995324
554	646.9861681
555	646.9471971
556	646.6263945
557	646.6229012
558	646.617759
559	646.4018654
560	646.3211101
561	646.3132856
562	646.3067073
563	646.2452263
564	646.1720937
565	646.0967102
566	645.9415697
567	645.7251664
568	645.6849298
569	645.5509611
570	645.5251663
571	645.5245331
572	645.5109277
573	645.4968046
574	645.2820336
575	645.270454
576	645.1543411
577	645.1460286
578	645.0707949
579	645.0581662
580	644.997127
581	644.8576451
582	644.852053
583	644.8125332
584	644.7288105
585	644.5838093
586	644.5028177
587	644.4874435
588	644.3377145
589	644.2976926
590	644.2877501
591	644.2424913
592	644.170807
593	643.9726391
594	643.8902801
595	643.7855591
596	643.7136271
597	643.5243695
598	643.4169292
599	643.283468
600	643.1105473
601	643.110025
602	642.9820781
603	642.9033208
604	642.7375659
605	642.7108956
606	642.6478897
607	642.6397566
608	642.5263079
609	642.3972036
610	642.2312941
611	642.0988778
612	642.026926
613	641.9727668
614	641.9653161
615	641.713818
616	641.6553779
617	641.6277238
618	641.5319653
619	641.4094624
620	641.4086316
621	641.3425974
622	641.3009666
623	641.2389757
624	641.1836401
625	641.1425143
626	641.1420629
627	641.0926168
628	641.0143007
629	640.8995563
630	640.7333567
631	640.5961705
632	640.5578849
633	640.52135
634	640.4158683
635	640.3516963
636	640.3313749
637	640.1205659
638	640.0182489
639	639.9011071
640	639.7552674
641	639.7257874
642	639.5947464
643	639.5710571
644	639.5543255
645	639.4448244
646	639.3988689
647	639.2275974
648	639.1755693
649	639.1133197
650	639.0928503
651	638.9857878
652	638.9675561
653	638.9465439
654	638.8501468
655	638.7094485
656	638.7070818
657	638.6253003
658	638.5908197
659	638.5611038
660	638.4325355
661	638.2904798
662	638.2523676
663	638.1678125
664	638.1567992
665	638.0773441
666	638.037796
667	638.0025431
668	637.9110895
669	637.8937975
670	637.787501
671	637.7636259
672	637.6797927
673	637.6215884
674	637.5457503
675	637.5109681
676	637.4432098
677	637.3677685
678	637.215398
679	637.1538353
680	637.093372
681	637.0505791
682	637.0119287
683	636.8998695
684	636.7830404
685	636.6651244
686	636.5715116
687	636.4948519
688	636.3953959
689	636.3702071
690	636.3613381
691	636.3566994
692	636.21435
693	636.1674351
694	636.1642898
695	636.0996432
696	636.0947144
697	636.054913
698	636.0480765
699	635.9801727
700	635.9118725
701	635.8653565
702	635.7871803
703	635.7698902
704	635.7611114
705	635.6404107
706	635.6181646
707	635.5594463
708	635.555255
709	635.5002374
710	635.4104745
711	635.3798437
712	635.3569455
713	635.1375908
714	635.1223454
715	635.0108415
716	634.9350998
717	634.9075737
718	634.8151575
719	634.7371379
720	634.697787
721	634.6310384
722	634.5824401
723	634.5778598
724	634.5469364
725	634.5401712
726	634.4542807
727	634.4537168
728	634.4386416
729	634.3643768
730	634.3435533
731	634.3136328
732	634.2911923
733	634.1576666
734	634.0067748
735	633.9054296
736	633.8907349
737	633.8223303
738	633.8193965
739	633.7281649
740	633.6883246
741	633.6701692
742	633.6195658
743	633.6115958
744	633.5258666
745	633.4576932
746	633.4214573
747	633.3505033
748	633.3425469
749	633.3324831
750	633.238485
751	633.1057575
752	633.0949842
753	633.0687216
754	632.9949051
755	632.9365133
756	632.9359848
757	632.8479147
758	632.8111822
759	632.6133623
760	632.5705524
761	632.5222688
762	632.4538124
763	632.4013312
764	632.3258379
765	632.1674158
766	632.0931464
767	632.0927445
768	632.0797706
769	631.9445354
770	631.9227931
771	631.8440844
772	631.721466
773	631.6349361
774	631.6285453
775	631.5989443
776	631.4914521
777	631.4771537
778	631.4341903
779	631.4310906
780	631.3730602
781	631.3601654
782	631.2480173
783	631.2197934
784	631.1910175
785	630.9951711
786	630.9539428
787	630.9408687
788	630.879978
789	630.7664426
790	630.7533052
791	630.7528836
792	630.6946921
793	630.6598204
794	630.597547
795	630.5082153
796	630.4143179
797	630.2878057
798	630.2128055
799	630.1510068
800	630.0198453
801	629.9007151
802	629.7965233
803	629.7779734
804	629.7486735
805	629.6855232
806	629.5965223
807	629.5300857
808	629.5000364
809	629.4273561
810	629.3847427
811	629.3252958
812	629.290396
813	629.2837203
814	629.221445
815	629.1865296
816	629.1473571
817	629.11154
818	629.1043031
819	629.0485684
820	628.977
821	628.8845446
822	628.8452847
823	628.7473685
824	628.6652807
825	628.5650264
826	628.4747988
827	628.3845809
828	628.2762317
829	628.1807877
830	628.160968
831	628.0616817
832	628.0156991
833	628.0071721
834	627.990382
835	627.9677992
836	627.9672608
837	627.8643477
838	627.8606487
839	627.8598913
840	627.8059607
841	627.7423381
842	627.6495499
843	627.5891095
844	627.5660235
845	627.5219719
846	627.437324
847	627.4102666
848	627.335265
849	627.3228038
850	627.2782222
851	627.2277646
852	627.2210315
853	627.1568229
854	627.0437023
855	626.9889122
856	626.9272273
857	626.7829344
858	626.7754759
859	626.7067992
860	626.6853512
861	626.5999981
862	626.5655253
863	626.5199158
864	626.4160467
865	626.3698938
866	626.2658188
867	626.2057618
868	626.16632
869	626.1210518
870	626.1059594
871	625.9715628
872	625.9480689
873	625.9333292
874	625.8901509
875	625.7501683
876	625.7417506
877	625.7120632
878	625.5631258
879	625.4861427
880	625.482518
881	625.4647966
882	625.3107475
883	625.2519422
884	625.161684
885	625.147643
886	625.0129733
887	624.9325397
888	624.8996314
889	624.8807158
890	624.8299392
891	624.8108082
892	624.7047444
893	624.5992301
894	624.592494
895	624.5566333
896	624.4345352
897	624.3727315
898	624.2916299
899	624.250032
900	624.209451
901	624.1212072
902	624.0778848
903	624.0344665
904	624.0004259
905	623.9355531
906	623.8727324
907	623.8011119
908	623.7535452
909	623.7470824
910	623.6563545
911	623.6201368
912	623.5879055
913	623.5279628
914	623.4200821
915	623.3875983
916	623.3319469
917	623.2910095
918	623.1962341
919	623.1606708
920	623.0593088
921	623.0181817
922	622.9797149
923	622.9406389
924	622.8871827
925	622.8675618
926	622.7538621
927	622.7498883
928	622.7114559
929	622.6447483
930	622.598279
931	622.5891797
932	622.5178219
933	622.4860934
934	622.4535354
935	622.3722376
936	622.3413786
937	622.3283118
938	622.2705061
939	622.263077
940	622.207584
941	622.1909485
942	622.0789714
943	622.0231392
944	621.9837092
945	621.9655243
946	621.8584145
947	621.8281515
948	621.7791221
949	621.7422732
950	621.714193
951	621.6684638
952	621.6310798
953	621.549772
954	621.4976582
955	621.4885765
956	621.3997055
957	621.3724545
958	621.2860988
959	621.1511731
960	621.1416553
961	621.1121437
962	620.9988365
963	620.8894851
964	620.8436905
965	620.7594124
966	620.6683495
967	620.6416144
968	620.6237617
969	620.5888362
970	620.4020998
971	620.3978251
972	620.3595843
973	620.3355043
974	620.2984736
975	620.2488388
976	620.2189425
977	620.1750543
978	620.1210796
979	620.0186522
980	619.864544
981	619.8092741
982	619.6986789
983	619.6391328
984	619.6184409
985	619.5976303
986	619.5583806
987	619.5387129
988	619.4434313
989	619.4369772
990	619.431184
991	619.3979507
992	619.3775073
993	619.3706825
994	619.3434406
995	619.3257295
996	619.3020369
997	619.2486638
998	619.2009427
999	619.1494062
